Model,Accuracy,AUC-ROC,Precision (Occ=1),Recall (Occ=1),F1 (Occ=1),Inference (µs),Model Size (KB),Train Time (ms),IoT Feasible
Logistic Regression,0.977946456046774,0.9950648266553674,0.9736161407139162,0.9198435972629521,0.9459663231967831,88.1674000993371,0.857421875,71.92200003191829,True
Decision Tree (depth=5),0.9532259718945533,0.8604408420682348,0.9334787350054525,0.8367546432062561,0.8824742268041237,211.1371997743845,3.8515625,35.90060002170503,True
Decision Tree (depth=10),0.9527130987793619,0.9056745166252145,0.9309407286568787,0.8367546432062561,0.8813384813384814,95.2219997998327,7.6015625,52.769900066778064,True
Random Forest (10 trees),0.979895373884501,0.9969353449145572,0.9733879222108496,0.9296187683284457,0.951,2521.841899957508,33.66796875,88.84339989162982,True
